month,week_day,hour,season,holiday,workingday,weather,temp,humidity,windspeed,count
1,6,12,1.0,0.0,0.0,2.0,15,66,20,93.0
1,6,13,1.0,0.0,0.0,2.0,15,66,9,75.0
1,6,14,1.0,0.0,0.0,3.0,15,76,13,59.0
1,6,15,1.0,0.0,0.0,3.0,14,81,11,74.0
1,6,16,1.0,0.0,0.0,3.0,14,71,11,76.0
1,6,17,1.0,0.0,0.0,1.0,14,57,13,65.0
1,6,18,1.0,0.0,0.0,2.0,15,46,22,53.0
1,6,19,1.0,0.0,0.0,1.0,13,42,30,30.0
1,6,20,1.0,0.0,0.0,1.0,12,39,24,22.0
1,6,21,1.0,0.0,0.0,1.0,11,44,22,31.0
1,6,22,1.0,0.0,0.0,1.0,10,44,20,9.0
1,6,23,1.0,0.0,0.0,1.0,9,47,11,8.0
1,0,0,1.0,0.0,1.0,1.0,9,44,24,5.0
1,0,1,1.0,0.0,1.0,1.0,8,44,28,2.0
1,0,4,1.0,0.0,1.0,1.0,7,47,26,1.0
1,0,5,1.0,0.0,1.0,1.0,7,47,19,3.0
1,0,6,1.0,0.0,1.0,1.0,6,50,26,30.0
1,0,7,1.0,0.0,1.0,1.0,6,50,13,64.0
1,0,8,1.0,0.0,1.0,1.0,6,50,19,154.0
1,0,9,1.0,0.0,1.0,1.0,7,43,26,88.0
1,0,10,1.0,0.0,1.0,1.0,7,43,17,44.0
1,0,11,1.0,0.0,1.0,1.0,8,40,22,51.0
1,0,12,1.0,0.0,1.0,1.0,9,35,20,61.0
1,0,13,1.0,0.0,1.0,1.0,10,35,19,61.0
1,0,14,1.0,0.0,1.0,1.0,11,30,19,77.0
1,0,15,1.0,0.0,1.0,1.0,11,30,17,72.0
1,0,16,1.0,0.0,1.0,1.0,11,30,17,76.0
1,0,17,1.0,0.0,1.0,1.0,10,30,15,157.0
1,0,18,1.0,0.0,1.0,1.0,10,32,7,157.0
1,0,19,1.0,0.0,1.0,1.0,8,47,0,110.0
1,0,20,1.0,0.0,1.0,1.0,8,47,7,52.0
1,0,21,1.0,0.0,1.0,1.0,7,64,9,52.0
1,0,22,1.0,0.0,1.0,1.0,6,69,9,20.0
1,0,23,1.0,0.0,1.0,1.0,7,55,7,12.0
1,1,0,1.0,0.0,1.0,1.0,7,55,7,5.0
1,1,1,1.0,0.0,1.0,1.0,7,59,7,2.0
1,1,2,1.0,0.0,1.0,1.0,6,63,9,1.0
1,1,4,1.0,0.0,1.0,1.0,6,63,6,2.0
1,1,5,1.0,0.0,1.0,1.0,5,68,7,4.0
1,1,6,1.0,0.0,1.0,1.0,5,74,7,36.0
1,1,7,1.0,0.0,1.0,1.0,5,74,9,94.0
1,1,8,1.0,0.0,1.0,1.0,6,69,11,179.0
1,1,9,1.0,0.0,1.0,1.0,7,64,15,100.0
1,1,10,1.0,0.0,1.0,2.0,7,69,22,42.0
1,1,11,1.0,0.0,1.0,1.0,9,51,20,57.0
1,1,12,1.0,0.0,1.0,1.0,9,51,11,78.0
1,1,13,1.0,0.0,1.0,1.0,10,56,13,97.0
1,1,14,1.0,0.0,1.0,1.0,11,52,15,63.0
1,1,15,1.0,0.0,1.0,1.0,11,52,17,65.0
1,1,16,1.0,0.0,1.0,1.0,12,49,17,83.0
1,1,17,1.0,0.0,1.0,1.0,11,48,15,212.0
1,1,18,1.0,0.0,1.0,1.0,11,48,13,182.0
1,1,19,1.0,0.0,1.0,1.0,10,48,7,112.0
1,1,20,1.0,0.0,1.0,1.0,10,48,7,54.0
1,1,21,1.0,0.0,1.0,1.0,9,64,0,48.0
1,1,22,1.0,0.0,1.0,1.0,9,64,6,35.0
1,1,23,1.0,0.0,1.0,1.0,8,69,6,11.0
1,2,0,1.0,0.0,1.0,1.0,8,64,0,6.0
1,2,1,1.0,0.0,1.0,1.0,7,74,6,6.0
1,2,2,1.0,0.0,1.0,1.0,7,74,6,2.0
1,2,4,1.0,0.0,1.0,1.0,10,48,15,2.0
1,2,5,1.0,0.0,1.0,1.0,9,47,11,3.0
1,2,6,1.0,0.0,1.0,1.0,8,47,15,33.0
1,2,7,1.0,0.0,1.0,1.0,7,43,13,88.0
1,2,8,1.0,0.0,1.0,1.0,8,40,20,195.0
1,2,9,1.0,0.0,1.0,1.0,9,37,22,115.0
1,2,10,1.0,0.0,1.0,1.0,9,37,22,57.0
1,2,11,1.0,0.0,1.0,1.0,11,33,22,46.0
1,2,12,1.0,0.0,1.0,1.0,11,33,22,79.0
1,2,13,1.0,0.0,1.0,1.0,11,30,20,71.0
1,2,14,1.0,0.0,1.0,1.0,12,28,13,62.0
1,2,15,1.0,0.0,1.0,1.0,12,28,13,62.0
1,2,16,1.0,0.0,1.0,1.0,12,28,6,89.0
1,2,17,1.0,0.0,1.0,1.0,10,38,13,190.0
1,2,18,1.0,0.0,1.0,1.0,10,38,9,169.0
1,2,19,1.0,0.0,1.0,1.0,10,38,7,132.0
1,2,20,1.0,0.0,1.0,1.0,9,47,11,89.0
1,2,21,1.0,0.0,1.0,1.0,8,51,13,43.0
1,2,22,1.0,0.0,1.0,1.0,7,55,9,42.0
1,2,23,1.0,0.0,1.0,1.0,8,47,0,19.0
1,3,0,1.0,0.0,1.0,1.0,7,55,0,11.0
1,3,1,1.0,0.0,1.0,1.0,7,64,0,4.0
1,3,2,1.0,0.0,1.0,1.0,7,64,0,2.0
1,3,4,1.0,0.0,1.0,2.0,7,64,6,1.0
1,3,5,1.0,0.0,1.0,2.0,6,69,6,4.0
1,3,6,1.0,0.0,1.0,2.0,6,63,7,36.0
1,3,7,1.0,0.0,1.0,2.0,7,59,0,95.0
1,3,8,1.0,0.0,1.0,1.0,7,59,0,219.0
1,3,9,1.0,0.0,1.0,2.0,7,51,0,122.0
1,3,10,1.0,0.0,1.0,1.0,8,47,0,45.0
1,3,11,1.0,0.0,1.0,1.0,9,44,6,59.0
1,3,12,1.0,0.0,1.0,1.0,11,35,0,84.0
1,3,13,1.0,0.0,1.0,1.0,11,35,7,67.0
1,3,14,1.0,0.0,1.0,1.0,11,36,11,70.0
1,3,15,1.0,0.0,1.0,1.0,11,36,0,62.0
1,3,16,1.0,0.0,1.0,1.0,11,38,11,86.0
1,3,17,1.0,0.0,1.0,1.0,9,51,11,172.0
1,3,18,1.0,0.0,1.0,1.0,9,51,9,163.0
1,3,19,1.0,0.0,1.0,1.0,9,55,6,112.0
1,3,20,1.0,0.0,1.0,1.0,8,51,11,69.0
1,3,21,1.0,0.0,1.0,2.0,9,55,15,48.0
1,3,22,1.0,0.0,1.0,2.0,9,51,19,52.0
1,3,23,1.0,0.0,1.0,2.0,8,59,13,23.0
1,4,0,1.0,0.0,1.0,2.0,8,64,13,17.0
1,4,1,1.0,0.0,1.0,2.0,8,69,15,7.0
1,4,2,1.0,0.0,1.0,2.0,8,69,15,1.0
1,4,4,1.0,0.0,1.0,2.0,8,69,9,1.0
1,4,5,1.0,0.0,1.0,3.0,9,55,0,5.0
1,4,6,1.0,0.0,1.0,2.0,8,69,0,34.0
1,4,7,1.0,0.0,1.0,1.0,8,69,9,84.0
1,4,8,1.0,0.0,1.0,1.0,8,51,17,210.0
1,4,9,1.0,0.0,1.0,1.0,8,47,20,134.0
1,4,10,1.0,0.0,1.0,1.0,9,37,22,63.0
1,4,11,1.0,0.0,1.0,2.0,8,40,15,67.0
1,4,12,1.0,0.0,1.0,2.0,8,37,17,59.0
1,4,13,1.0,0.0,1.0,2.0,8,37,19,73.0
1,4,14,1.0,0.0,1.0,2.0,8,40,17,50.0
1,4,15,1.0,0.0,1.0,2.0,8,37,11,72.0
1,4,16,1.0,0.0,1.0,2.0,8,37,11,87.0
1,4,17,1.0,0.0,1.0,2.0,8,37,0,187.0
1,4,18,1.0,0.0,1.0,1.0,8,40,6,123.0
1,4,19,1.0,0.0,1.0,1.0,7,55,6,95.0
1,4,20,1.0,0.0,1.0,1.0,7,47,7,51.0
1,4,21,1.0,0.0,1.0,1.0,7,47,9,39.0
1,4,22,1.0,0.0,1.0,2.0,7,43,11,36.0
1,4,23,1.0,0.0,1.0,2.0,7,51,11,15.0
1,5,0,1.0,0.0,0.0,2.0,7,51,11,25.0
1,5,1,1.0,0.0,0.0,2.0,7,55,6,16.0
1,5,2,1.0,0.0,0.0,2.0,7,55,0,16.0
1,5,3,1.0,0.0,0.0,3.0,7,55,11,7.0
1,5,4,1.0,0.0,0.0,3.0,7,55,11,1.0
1,5,5,1.0,0.0,0.0,2.0,7,74,11,5.0
1,5,6,1.0,0.0,0.0,2.0,7,74,11,2.0
1,5,7,1.0,0.0,0.0,2.0,7,74,7,9.0
1,5,8,1.0,0.0,0.0,3.0,7,93,7,15.0
1,5,9,1.0,0.0,0.0,3.0,7,93,7,20.0
1,5,10,1.0,0.0,0.0,2.0,7,80,11,61.0
1,5,11,1.0,0.0,0.0,2.0,8,69,26,62.0
1,5,12,1.0,0.0,0.0,2.0,8,59,24,98.0
1,5,13,1.0,0.0,0.0,1.0,8,44,22,102.0
1,5,14,1.0,0.0,0.0,1.0,8,32,33,95.0
1,5,15,1.0,0.0,0.0,1.0,8,32,30,74.0
1,5,16,1.0,0.0,0.0,1.0,7,29,30,76.0
1,5,17,1.0,0.0,0.0,1.0,7,37,37,69.0
1,5,18,1.0,0.0,0.0,1.0,6,39,20,55.0
1,5,19,1.0,0.0,0.0,1.0,6,36,17,30.0
1,5,20,1.0,0.0,0.0,1.0,5,36,17,28.0
1,5,21,1.0,0.0,0.0,1.0,5,39,24,37.0
1,5,22,1.0,0.0,0.0,1.0,5,36,26,34.0
1,5,23,1.0,0.0,0.0,1.0,4,39,30,22.0
1,6,0,1.0,0.0,0.0,1.0,4,42,26,25.0
1,6,1,1.0,0.0,0.0,1.0,4,42,31,12.0
1,6,2,1.0,0.0,0.0,1.0,4,46,31,11.0
1,6,3,1.0,0.0,0.0,1.0,4,46,28,4.0
1,6,4,1.0,0.0,0.0,1.0,3,53,13,1.0
1,6,5,1.0,0.0,0.0,1.0,3,53,13,1.0
1,6,6,1.0,0.0,0.0,1.0,4,49,19,1.0
1,6,7,1.0,0.0,0.0,1.0,3,53,13,6.0
1,6,8,1.0,0.0,0.0,1.0,4,49,19,10.0
1,6,9,1.0,0.0,0.0,1.0,5,46,35,19.0
1,6,10,1.0,0.0,0.0,1.0,6,43,26,49.0
1,6,11,1.0,0.0,0.0,1.0,7,40,35,49.0
1,6,12,1.0,0.0,0.0,1.0,7,37,30,83.0
1,6,13,1.0,0.0,0.0,1.0,8,34,30,75.0
1,6,14,1.0,0.0,0.0,1.0,9,32,31,72.0
1,6,15,1.0,0.0,0.0,1.0,9,35,24,82.0
1,6,16,1.0,0.0,0.0,1.0,8,34,30,92.0
1,6,17,1.0,0.0,0.0,1.0,7,37,26,62.0
1,6,18,1.0,0.0,0.0,1.0,7,40,22,48.0
1,6,19,1.0,0.0,0.0,1.0,7,43,22,41.0
1,6,20,1.0,0.0,0.0,1.0,6,46,17,38.0
1,6,21,1.0,0.0,0.0,1.0,6,46,28,20.0
1,6,22,1.0,0.0,0.0,1.0,6,46,20,15.0
1,6,23,1.0,0.0,0.0,1.0,5,50,13,6.0
1,0,0,1.0,0.0,1.0,1.0,5,50,19,5.0
1,0,1,1.0,0.0,1.0,1.0,5,50,19,1.0
1,0,2,1.0,0.0,1.0,1.0,5,50,15,3.0
1,0,3,1.0,0.0,1.0,1.0,5,50,15,1.0
1,0,4,1.0,0.0,1.0,1.0,4,54,9,3.0
1,0,5,1.0,0.0,1.0,1.0,4,54,17,3.0
1,0,6,1.0,0.0,1.0,1.0,5,50,19,31.0
1,0,7,1.0,0.0,1.0,1.0,5,50,15,77.0
1,0,8,1.0,0.0,1.0,2.0,5,50,19,188.0
1,0,9,1.0,0.0,1.0,2.0,6,50,17,94.0
1,0,10,1.0,0.0,1.0,2.0,6,50,20,31.0
1,0,11,1.0,0.0,1.0,2.0,7,47,19,30.0
1,0,12,1.0,0.0,1.0,2.0,8,40,19,52.0
1,0,13,1.0,0.0,1.0,2.0,8,40,19,54.0
1,0,14,1.0,0.0,1.0,2.0,8,40,15,47.0
1,0,15,1.0,0.0,1.0,2.0,8,40,15,45.0
1,0,16,1.0,0.0,1.0,1.0,8,40,9,74.0
1,0,17,1.0,0.0,1.0,1.0,8,40,7,178.0
1,0,18,1.0,0.0,1.0,1.0,8,40,15,155.0
1,0,19,1.0,0.0,1.0,1.0,7,47,11,95.0
1,0,20,1.0,0.0,1.0,1.0,7,50,11,74.0
1,0,21,1.0,0.0,1.0,1.0,6,59,13,38.0
1,0,22,1.0,0.0,1.0,1.0,6,59,11,24.0
1,0,23,1.0,0.0,1.0,1.0,6,59,11,18.0
1,1,0,1.0,0.0,1.0,1.0,6,59,7,12.0
1,1,1,1.0,0.0,1.0,1.0,6,59,11,3.0
1,1,2,1.0,0.0,1.0,2.0,7,55,13,3.0
1,1,5,1.0,0.0,1.0,2.0,7,55,9,6.0
1,1,6,1.0,0.0,1.0,2.0,7,55,9,27.0
1,1,7,1.0,0.0,1.0,2.0,7,55,0,99.0
1,1,8,1.0,0.0,1.0,2.0,7,51,6,217.0
1,1,9,1.0,0.0,1.0,2.0,7,51,11,130.0
1,1,10,1.0,0.0,1.0,2.0,8,51,11,54.0
1,1,11,1.0,0.0,1.0,2.0,8,47,9,35.0
1,1,12,1.0,0.0,1.0,2.0,8,51,7,57.0
1,1,13,1.0,0.0,1.0,2.0,8,59,6,52.0
1,1,14,1.0,0.0,1.0,2.0,8,59,6,63.0
1,1,15,1.0,0.0,1.0,2.0,7,80,6,47.0
1,1,16,1.0,0.0,1.0,2.0,7,86,15,76.0
1,1,17,1.0,0.0,1.0,2.0,7,86,15,136.0
1,1,18,1.0,0.0,1.0,3.0,7,93,7,95.0
1,1,19,1.0,0.0,1.0,3.0,7,93,0,51.0
1,1,20,1.0,0.0,1.0,3.0,7,93,13,32.0
1,1,21,1.0,0.0,1.0,3.0,7,86,6,20.0
1,1,22,1.0,0.0,1.0,3.0,7,93,7,29.0
1,1,23,1.0,0.0,1.0,3.0,7,93,6,19.0
1,2,0,1.0,0.0,1.0,2.0,7,86,6,7.0
1,2,1,1.0,0.0,1.0,2.0,7,86,7,6.0
1,2,2,1.0,0.0,1.0,1.0,6,86,9,1.0
1,2,5,1.0,0.0,1.0,1.0,6,86,11,5.0
1,2,6,1.0,0.0,1.0,1.0,5,93,9,16.0
1,2,7,1.0,0.0,1.0,1.0,6,69,9,54.0
1,2,8,1.0,0.0,1.0,1.0,7,59,11,128.0
1,2,9,1.0,0.0,1.0,1.0,7,59,22,81.0
1,2,10,1.0,0.0,1.0,1.0,7,55,15,39.0
1,2,11,1.0,0.0,1.0,1.0,8,51,26,35.0
1,2,12,1.0,0.0,1.0,1.0,8,47,39,55.0
1,2,13,1.0,0.0,1.0,1.0,9,44,24,49.0
1,2,14,1.0,0.0,1.0,1.0,8,47,22,44.0
1,2,15,1.0,0.0,1.0,1.0,8,47,28,49.0
1,2,16,1.0,0.0,1.0,1.0,9,44,22,68.0
1,2,17,1.0,0.0,1.0,1.0,8,47,24,139.0
1,2,18,1.0,0.0,1.0,1.0,8,47,35,137.0
1,2,19,1.0,0.0,1.0,1.0,7,47,28,83.0
1,2,20,1.0,0.0,1.0,1.0,7,50,22,56.0
1,2,21,1.0,0.0,1.0,1.0,7,55,22,57.0
1,2,22,1.0,0.0,1.0,1.0,7,55,30,33.0
1,2,23,1.0,0.0,1.0,1.0,6,59,28,20.0
1,3,0,1.0,0.0,1.0,1.0,6,59,19,7.0
1,3,1,1.0,0.0,1.0,1.0,6,50,19,2.0
1,3,2,1.0,0.0,1.0,1.0,6,50,24,2.0
1,3,3,1.0,0.0,1.0,1.0,6,50,22,3.0
1,3,4,1.0,0.0,1.0,1.0,6,50,17,4.0
1,3,5,1.0,0.0,1.0,1.0,6,50,20,3.0
1,3,6,1.0,0.0,1.0,1.0,5,54,9,28.0
1,3,7,1.0,0.0,1.0,1.0,5,54,9,72.0
1,3,8,1.0,0.0,1.0,1.0,6,50,13,202.0
1,3,9,1.0,0.0,1.0,1.0,6,50,22,139.0
1,3,10,1.0,0.0,1.0,2.0,7,50,24,38.0
1,3,11,1.0,0.0,1.0,2.0,8,44,30,37.0
1,3,12,1.0,0.0,1.0,1.0,8,44,28,52.0
1,3,13,1.0,0.0,1.0,1.0,9,41,30,83.0
1,3,14,1.0,0.0,1.0,1.0,9,41,26,42.0
1,3,15,1.0,0.0,1.0,1.0,10,38,20,60.0
1,3,16,1.0,0.0,1.0,1.0,10,38,24,78.0
1,3,17,1.0,0.0,1.0,1.0,8,40,19,162.0
1,3,18,1.0,0.0,1.0,1.0,8,40,22,144.0
1,3,19,1.0,0.0,1.0,1.0,7,47,17,99.0
1,3,20,1.0,0.0,1.0,1.0,7,47,15,64.0
1,3,21,1.0,0.0,1.0,1.0,6,46,20,40.0
1,3,22,1.0,0.0,1.0,1.0,6,46,22,30.0
1,3,23,1.0,0.0,1.0,1.0,5,50,13,15.0
1,4,0,1.0,0.0,1.0,1.0,5,50,13,14.0
1,4,1,1.0,0.0,1.0,1.0,4,54,11,5.0
1,4,2,1.0,0.0,1.0,1.0,4,54,9,1.0
1,4,3,1.0,0.0,1.0,1.0,4,54,7,1.0
1,4,5,1.0,0.0,1.0,1.0,4,54,6,8.0
1,4,6,1.0,0.0,1.0,1.0,4,54,0,17.0
1,4,7,1.0,0.0,1.0,1.0,4,74,11,70.0
1,4,8,1.0,0.0,1.0,1.0,5,68,0,158.0
1,4,9,1.0,0.0,1.0,1.0,6,69,9,117.0
1,4,10,1.0,0.0,1.0,1.0,7,55,13,44.0
1,4,11,1.0,0.0,1.0,1.0,7,51,19,53.0
1,4,12,1.0,0.0,1.0,1.0,8,44,17,61.0
1,4,13,1.0,0.0,1.0,1.0,9,37,26,77.0
1,4,14,1.0,0.0,1.0,1.0,9,41,19,64.0
1,4,15,1.0,0.0,1.0,1.0,10,38,11,68.0
1,4,16,1.0,0.0,1.0,1.0,9,41,7,90.0
1,4,17,1.0,0.0,1.0,1.0,9,41,11,159.0
1,4,18,1.0,0.0,1.0,1.0,8,47,0,139.0
1,4,19,1.0,0.0,1.0,1.0,7,59,6,92.0
1,4,20,1.0,0.0,1.0,1.0,7,59,0,68.0
1,4,21,1.0,0.0,1.0,1.0,7,69,0,52.0
1,4,22,1.0,0.0,1.0,2.0,7,69,0,36.0
1,4,23,1.0,0.0,1.0,2.0,7,55,0,27.0
1,5,0,1.0,0.0,0.0,1.0,7,55,0,28.0
1,5,1,1.0,0.0,0.0,2.0,7,59,6,20.0
1,5,2,1.0,0.0,0.0,2.0,7,59,6,12.0
1,5,3,1.0,0.0,0.0,2.0,7,59,0,8.0
1,5,4,1.0,0.0,0.0,2.0,7,59,0,5.0
1,5,5,1.0,0.0,0.0,1.0,7,59,0,1.0
1,5,6,1.0,0.0,0.0,1.0,6,63,7,3.0
1,5,7,1.0,0.0,0.0,1.0,6,63,0,10.0
1,5,8,1.0,0.0,0.0,1.0,6,63,9,23.0
1,5,9,1.0,0.0,0.0,1.0,7,64,9,33.0
1,5,10,1.0,0.0,0.0,1.0,7,59,11,59.0
1,5,11,1.0,0.0,0.0,1.0,8,55,15,72.0
1,5,12,1.0,0.0,0.0,1.0,10,48,15,89.0
1,5,13,1.0,0.0,0.0,1.0,11,38,20,101.0
1,5,14,1.0,0.0,0.0,1.0,12,39,19,118.0
1,5,15,1.0,0.0,0.0,2.0,13,36,13,129.0
1,5,16,1.0,0.0,0.0,2.0,14,34,13,128.0
1,5,17,1.0,0.0,0.0,2.0,13,36,19,83.0
1,5,18,1.0,0.0,0.0,2.0,12,45,17,84.0
1,5,19,1.0,0.0,0.0,2.0,13,39,17,74.0
1,5,20,1.0,0.0,0.0,2.0,13,39,17,41.0
1,5,21,1.0,0.0,0.0,2.0,13,39,15,57.0
1,5,22,1.0,0.0,0.0,2.0,12,42,7,26.0
1,5,23,1.0,0.0,0.0,1.0,12,45,19,44.0
1,6,0,1.0,0.0,0.0,1.0,11,56,0,39.0
1,6,1,1.0,0.0,0.0,1.0,11,56,9,23.0
1,6,2,1.0,0.0,0.0,1.0,11,56,6,16.0
1,6,3,1.0,0.0,0.0,1.0,9,69,0,15.0
1,6,4,1.0,0.0,0.0,1.0,11,56,11,1.0
1,6,5,1.0,0.0,0.0,2.0,11,56,11,2.0
1,6,6,1.0,0.0,0.0,2.0,11,56,11,1.0
1,6,7,1.0,0.0,0.0,2.0,10,56,20,3.0
1,6,8,1.0,0.0,0.0,1.0,9,55,19,18.0
1,6,9,1.0,0.0,0.0,1.0,9,51,17,32.0
1,6,10,1.0,0.0,0.0,1.0,9,51,19,79.0
1,6,11,1.0,0.0,0.0,1.0,10,44,17,93.0
1,6,12,1.0,0.0,0.0,1.0,10,41,19,104.0
1,6,13,1.0,0.0,0.0,1.0,11,35,20,118.0
1,6,14,1.0,0.0,0.0,1.0,11,36,17,91.0
1,6,15,1.0,0.0,0.0,1.0,11,38,17,113.0
1,6,16,1.0,0.0,0.0,1.0,10,38,15,99.0
1,6,17,1.0,0.0,0.0,1.0,9,37,17,105.0
1,6,18,1.0,0.0,0.0,1.0,8,40,11,67.0
1,6,19,1.0,0.0,0.0,1.0,7,47,9,61.0
1,6,20,1.0,0.0,0.0,1.0,7,47,11,57.0
1,6,21,1.0,0.0,0.0,1.0,7,51,11,28.0
1,6,22,1.0,0.0,0.0,2.0,8,49,9,21.0
1,6,23,1.0,0.0,0.0,2.0,8,40,7,18.0
1,0,0,1.0,1.0,0.0,2.0,8,47,15,17.0
1,0,1,1.0,1.0,0.0,2.0,8,44,13,16.0
1,0,2,1.0,1.0,0.0,2.0,7,43,17,8.0
1,0,3,1.0,1.0,0.0,2.0,7,43,13,2.0
1,0,4,1.0,1.0,0.0,2.0,7,43,9,3.0
1,0,5,1.0,1.0,0.0,2.0,7,43,11,1.0
1,0,6,1.0,1.0,0.0,2.0,7,43,13,5.0
1,0,7,1.0,1.0,0.0,2.0,7,50,9,13.0
1,0,8,1.0,1.0,0.0,2.0,7,47,15,33.0
1,0,9,1.0,1.0,0.0,2.0,7,47,15,47.0
1,0,10,1.0,1.0,0.0,2.0,7,50,17,57.0
1,0,11,1.0,1.0,0.0,2.0,7,55,13,64.0
1,0,12,1.0,1.0,0.0,2.0,7,47,9,80.0
1,0,13,1.0,1.0,0.0,2.0,7,47,9,93.0
1,0,14,1.0,1.0,0.0,2.0,7,43,7,86.0
1,0,15,1.0,1.0,0.0,2.0,8,47,11,93.0
1,0,16,1.0,1.0,0.0,2.0,8,47,11,82.0
1,0,17,1.0,1.0,0.0,1.0,8,51,13,71.0
1,0,18,1.0,1.0,0.0,2.0,7,55,17,92.0
1,0,19,1.0,1.0,0.0,3.0,7,59,13,60.0
1,0,20,1.0,1.0,0.0,3.0,7,80,13,33.0
1,0,21,1.0,1.0,0.0,3.0,7,80,13,27.0
1,0,22,1.0,1.0,0.0,3.0,6,93,17,13.0
1,0,23,1.0,1.0,0.0,3.0,7,86,19,4.0
1,1,12,1.0,0.0,1.0,2.0,8,86,22,3.0
1,1,13,1.0,0.0,1.0,2.0,8,86,15,22.0
1,1,14,1.0,0.0,1.0,2.0,9,80,11,28.0
1,1,15,1.0,0.0,1.0,2.0,9,87,11,35.0
1,1,16,1.0,0.0,1.0,2.0,9,87,13,61.0
1,1,17,1.0,0.0,1.0,2.0,9,82,13,125.0
1,1,18,1.0,0.0,1.0,2.0,9,80,11,133.0
1,1,19,1.0,0.0,1.0,2.0,9,80,9,99.0
1,1,20,1.0,0.0,1.0,2.0,9,87,0,83.0
1,1,21,1.0,0.0,1.0,2.0,9,93,7,41.0
1,1,22,1.0,0.0,1.0,2.0,9,93,6,33.0
1,1,23,1.0,0.0,1.0,2.0,9,93,0,20.0
1,2,0,1.0,0.0,1.0,2.0,9,93,0,3.0
1,2,1,1.0,0.0,1.0,3.0,9,93,9,7.0
1,2,2,1.0,0.0,1.0,3.0,9,93,9,3.0
1,2,4,1.0,0.0,1.0,3.0,9,93,9,2.0
1,2,5,1.0,0.0,1.0,2.0,9,93,6,7.0
1,2,6,1.0,0.0,1.0,2.0,9,93,6,32.0
1,2,7,1.0,0.0,1.0,2.0,10,92,7,90.0
1,2,8,1.0,0.0,1.0,2.0,10,93,7,197.0
1,2,9,1.0,0.0,1.0,2.0,10,93,7,109.0
1,2,10,1.0,0.0,1.0,2.0,11,93,9,47.0
1,2,11,1.0,0.0,1.0,2.0,11,87,6,52.0
1,2,12,1.0,0.0,1.0,2.0,12,81,6,70.0
1,2,13,1.0,0.0,1.0,1.0,16,62,19,78.0
1,2,14,1.0,0.0,1.0,1.0,16,58,17,75.0
1,2,15,1.0,0.0,1.0,1.0,16,54,19,82.0
1,2,16,1.0,0.0,1.0,1.0,16,58,26,104.0
1,2,17,1.0,0.0,1.0,1.0,15,57,22,197.0
1,2,18,1.0,0.0,1.0,1.0,14,61,19,161.0
1,2,19,1.0,0.0,1.0,1.0,13,57,28,112.0
1,2,20,1.0,0.0,1.0,1.0,13,49,20,76.0
1,2,21,1.0,0.0,1.0,1.0,13,49,28,59.0
1,2,22,1.0,0.0,1.0,1.0,12,52,11,59.0
1,2,23,1.0,0.0,1.0,1.0,12,52,31,28.0
2,1,0,1.0,0.0,1.0,2.0,7,64,7,8.0
2,1,1,1.0,0.0,1.0,2.0,7,69,7,3.0
2,1,2,1.0,0.0,1.0,2.0,7,69,0,2.0
2,1,3,1.0,0.0,1.0,2.0,7,69,0,2.0
